generation avg_fitness min_fitness max_fitness
1 12.9865 7.07957 19.3945
2 14.679 5.77078 23.0441
3 15.9383 5.19264 24.9917
4 16.1835 5.55692 24.7294
5 16.491 2.50185 25.2643
6 16.2212 1.56543 25.1167
7 16.3003 4.73329 24.9725
8 16.0612 4.66769 23.4237
9 15.6439 2.16129 25.5572
10 15.2433 5.86772 24.5991
11 15.2633 3.17438 24.524
12 15.5652 1.63284 23.8323
13 15.5522 2.47199 25.4955
14 15.6145 1.25446 25.1416
15 15.4914 3.05653 23.8782
16 15.861 2.06962 23.4836
17 15.4024 2.30453 22.751
18 15.3396 2.14049 25.0046
19 15.5956 4.73374 24.7858
20 15.429 1.13247 23.9698
21 15.7483 1.94341 24.715
22 14.8822 1.16592 24.3875
23 15.8156 1.72694 24.0489
24 15.5219 1.6325 25.7533
25 15.2865 0.793238 24.119
26 15.7447 3.5041 24.1246
27 16.2005 4.90556 26.0917
28 15.6441 1.53841 24.8836
29 15.7091 1.66102 24.4089
30 15.5094 4.86656 25.2901
31 15.5511 4.32749 24.4972
32 15.9898 1.13558 24.4889
33 15.7992 2.72798 24.0382
34 16.4858 6.70125 24.6671
35 15.4905 2.07903 25.0017
36 15.7142 0.661763 25.0493
37 16.064 4.7904 24.1821
38 16.1881 3.37751 24.313
39 16.0329 5.07175 23.5114
40 15.8949 1.16592 26.2811
41 15.6425 1.45203 24.8487
42 15.7549 2.24552 26.7487
43 15.5947 2.18581 23.5885
44 15.6304 4.89668 24.0607
45 15.1461 1.04508 24.1613
46 15.6716 1.89066 23.8706
47 15.5423 2.08803 24.3841
48 15.3545 2.89129 24.5272
49 15.1263 1.43075 24.8018
50 14.885 3.26595 25.6744
51 15.1695 3.02474 25.6744
52 15.1296 1.48598 24.7264
53 15.7797 4.44196 23.3986
54 15.2378 1.21784 23.3986
55 14.6627 1.45203 22.4777
56 14.9987 1.13559 22.4763
57 14.6183 1.45203 23.6906
58 14.6757 3.10753 24.0764
59 15.1995 3.03169 24.7548
60 15.1462 2.57159 24.8256
61 15.3517 0.986116 24.3987
62 15.8193 2.18423 23.5107
63 15.44 2.12565 23.4507
64 15.2852 1.99305 24.2729
65 15.9777 2.44234 25.4306
66 15.4125 2.6336 25.4306
67 15.63 2.45705 24.4568
68 15.8723 4.05243 24.4568
69 15.951 3.02462 25.3272
70 16.0523 2.67735 23.3733
71 15.9154 1.23327 25.5222
72 15.6726 2.06962 25.8477
73 15.3862 0.627732 24.5236
74 15.4071 1.45203 23.2291
75 15.4661 5.53787 24.7263
76 15.7281 1.40166 24.5538
77 15.8789 3.07726 25.1434
78 16.0032 4.1472 27.2748
79 15.7481 1.45203 25.0319
80 15.6516 4.6849 24.491
81 15.9062 1.48536 24.6804
82 15.3969 1.16592 24.8713
83 15.4018 1.72704 24.6566
84 15.4075 3.48987 25.1875
85 15.1647 1.90206 25.3764
86 15.16 1.45203 24.6428
87 14.9754 1.354 24.2104
88 15.6711 2.60504 24.6963
89 15.6795 1.45082 23.694
90 15.6423 2.3944 25.817
91 15.8218 2.07826 25.817
92 15.4835 2.06962 26.3017
93 15.6481 1.40166 24.5589
94 14.9812 1.01906 24.5936
95 15.0324 1.69695 24.1569
96 15.4516 2.54429 23.4071
97 14.8198 1.16592 25.53
98 15.1064 1.45203 24.1437
99 15.3499 5.39831 23.9312
100 14.9653 4.26726 23.9859
101 15.1245 1.13558 23.7735
102 14.5157 2.18603 23.7761
103 14.998 2.20849 23.438
104 15.136 2.86185 25.1613
105 15.1972 4.4113 23.8547
106 15.6292 1.45203 23.8055
107 15.3151 2.3 24.3046
108 14.7272 3.25479 23.6349
109 14.9961 2.46078 24.8726
110 14.8583 0.793238 24.8726
111 14.8538 2.60887 24.2391
112 15.6389 1.35436 24.3333
113 15.206 1.03048 24.9068
114 15.5588 1.74459 25.0234
115 15.1293 4.22733 24.3203
116 15.9585 2.9917 25.8391
117 15.6292 1.55976 24.4029
118 15.9292 1.16625 25.7982
119 15.9746 4.78841 24.598
120 15.675 2.16921 25.7769
121 15.7583 2.60504 24.1389
122 15.6863 1.45203 23.5707
123 15.6109 1.38179 25.2343
124 15.5871 1.48536 25.0782
125 15.829 2.83475 24.3032
126 15.8575 2.44774 24
127 15.4783 3.55384 24.2074
128 15.9726 1.37625 24.2261
129 16.0126 1.64599 25.156
130 15.6271 1.16625 24.7663
131 15.7032 3.82024 23.9528
132 15.7608 2.60504 24.1734
133 15.595 1.48536 25.399
134 15.7022 1.2026 24.2839
135 15.4377 1.45237 25.3099
136 15.6855 4.46152 25.8946
137 15.3167 1.72063 25.5781
138 15.3334 0.65605 23.239
139 15.8438 3.30449 24.7166
140 15.4447 1.12422 24.7166
141 15.3208 2.74853 24.7201
142 15.1452 0.809329 24.3526
143 14.8375 1.71255 24.6318
144 14.679 2.17812 26.8656
145 15.2814 1.37775 24.2955
146 15.1672 2.89129 24.6982
147 15.1926 1.74459 23.3256
148 14.6124 1.16625 24.3389
149 14.6049 3.05232 23.431
150 15.079 4.74069 23.5991
151 15.1423 1.79889 23.1802
152 14.6628 0.793238 22.8899
153 14.913 0.988891 23.5279
154 14.9388 1.17914 24.7292
155 15.4114 0.794916 24.4342
156 15.1207 3.25026 24.4268
157 15.0973 0.793239 24.5112
158 15.5015 2.18894 23.488
159 15.5562 1.11352 26.2889
160 15.5969 1.10903 23.2922
161 15.0687 1.09378 24.7227
162 15.3533 2.8767 24.508
163 15.5131 2.6859 25.6172
164 15.2485 2.57055 25.7565
165 15.3129 2.00416 26.1545
166 15.9502 4.04035 24.1376
167 15.485 1.48536 24.93
168 14.6246 2.24848 26.8419
169 15.3144 3.37208 24.7092
170 15.136 2.40076 23.0907
171 14.6892 2.11761 24.4026
172 14.7831 2.48751 23.5408
173 15.0328 0.987814 25.6643
174 14.7525 2.10041 23.7338
175 15.0018 0.881766 24.0426
176 15.2853 3.85026 23.5402
177 15.187 4.07917 23.6165
178 15.9941 1.75213 24.2328
179 15.7885 4.42207 23.8789
180 16.0309 1.97224 25.2711
181 15.9127 2.78286 25.8215
182 15.5318 2.10649 24.8474
183 15.4652 2.88635 25.0939
184 15.8191 4.34764 24.1063
185 15.3571 0.656059 25.4392
186 15.9758 1.48536 24.2793
187 15.794 2.48561 24.1313
188 15.9965 1.35437 25.2611
189 15.6438 1.53732 24.8326
190 15.2586 1.16625 25.5438
191 15.5338 3.08409 25.0642
192 15.4872 2.85784 25.0642
193 15.6146 3.7652 24.5556
194 15.735 4.48674 23.801
195 15.6299 1.51647 24.0668
196 15.5924 5.77944 22.9496
197 15.5098 3.71121 24.5344
198 15.783 4.0275 24.5344
199 16.0714 3.65033 24.6484
200 15.7659 2.99125 24.5922
201 15.4405 1.7452 26.6262
202 15.7794 6.7237 24.5339
203 16.0579 1.46584 25.1391
204 15.3308 1.39559 24.8047
205 14.9732 0.794916 22.7101
206 14.9917 1.613 24.6568
207 15.0671 4.26852 23.9343
208 16.3206 3.59938 25.4516
209 16.0226 2.27893 23.8328
210 16.0977 5.23544 24.5753
211 15.8717 3.59938 24.7409
212 15.7638 1.63284 24.0564
213 16.3803 5.10023 26.7233
214 16.1732 3.59938 24.7328
215 16.0211 1.63284 25.2548
216 15.7636 1.45237 25.7652
217 14.9442 1.74898 23.8247
218 15.679 1.63284 26.751
219 15.8835 2.12565 25.508
220 16.2434 2.51304 24.9285
221 16.0511 3.55014 24.3425
222 15.8514 4.69643 24.5116
223 15.6626 2.47469 25.8032
224 15.8362 1.63284 25.6058
225 15.8607 2.27893 25.6058
