generation avg_fitness min_fitness max_fitness
1 12.799 5.93861 18.9168
2 13.5414 4.8054 20.789
3 14.4296 5.48513 21.8254
4 15.7495 4.3275 25.1508
5 16.7294 7.41773 24.65
6 16.6938 3.80306 23.9764
7 15.5298 5.23158 24.5083
8 16.5178 9.42603 23.3689
9 16.9676 6.49181 24.0544
10 16.1417 5.21412 23.4992
11 16.843 4.41336 24.3718
12 16.6731 6.32149 24.688
13 16.4544 7.3506 24.4881
14 16.2533 5.80264 25.3519
15 17.1576 6.83727 25.1254
16 16.5393 5.39326 25.3796
17 17.6626 8.18516 26.1502
18 16.9196 5.25339 25.386
19 16.7101 6.60427 25.6375
20 16.8708 2.03109 23.0934
21 17.0425 6.57783 24.2748
22 17.0553 5.84759 24.3155
23 17.7826 6.24346 26.1185
24 18.2019 8.11603 27.6581
25 18.348 6.11273 26.3311
26 18.2411 3.41735 26.1177
27 17.8783 6.8131 26.5387
28 18.0531 8.97654 26.6072
29 17.6818 6.15098 24.2456
30 17.7939 5.33959 25.1693
31 17.9193 6.66406 28.4622
32 17.6865 4.24335 26.0113
33 18.0284 5.86602 27.9865
34 17.5965 5.72973 25.0623
35 17.3751 7.57036 26.584
36 18.1254 6.34464 26.2466
37 18.1402 4.88606 26.8333
38 18.0587 3.81994 26.1178
39 17.7757 5.94934 26.4101
40 17.367 5.23116 25.5758
41 16.9015 2.95494 25.5758
42 17.3433 3.90529 25.5288
43 17.8188 5.78607 26.9788
44 17.7149 4.47707 26.5223
45 17.9243 9.24914 26.3285
46 17.711 6.13074 25.6404
47 18.2568 5.28139 25.5835
48 17.8553 5.82331 26.1243
49 17.4563 5.62792 25.435
50 17.3558 5.52029 25.3889
51 17.6314 5.81302 25.1598
52 17.4599 5.8459 25.6207
53 17.4602 6.92993 25.5303
54 17.7206 6.64647 26.7746
55 17.3899 5.26368 26.7746
56 16.9541 6.45977 25.5181
57 16.4826 5.86546 25.5181
58 16.9714 5.99588 26.063
59 17.0826 5.05802 25.158
60 17.1654 6.28541 25.5893
61 17.1883 3.59189 26.1827
62 17.2142 3.81866 26.1152
63 17.4834 7.09256 26.0893
64 18.0537 8.61029 24.8177
65 17.8277 4.64632 26.0521
66 17.1648 6.05743 25.5371
67 17.2843 5.98477 27.417
68 16.838 6.70682 26.6339
69 17.9365 7.81077 27.417
70 18.8836 4.7321 25.9217
71 18.1904 6.54977 27.1636
72 17.9109 6.40084 27.1842
73 19.3134 10.4162 27.3308
74 18.7113 5.37623 27.3308
75 18.9203 6.54262 27.2028
76 18.7318 8.58863 27.2665
77 19.6166 5.41854 27.9856
78 18.4667 7.12077 28.4428
79 18.897 7.83566 26.1908
80 18.5069 7.8685 25.7652
81 17.7268 5.69856 25.827
82 18.4177 6.65707 26.7062
83 17.792 7.2278 26.7062
84 17.8003 5.44068 26.1167
85 17.5871 7.65392 25.4605
86 18.0351 7.81025 26.5695
87 18.1921 6.2937 25.3276
88 18.1558 5.96758 26.6771
89 19.1879 10.1691 26.1914
90 19.1834 8.30238 27.1437
91 19.1691 7.39055 25.8368
92 18.7106 5.17574 26.5964
93 18.3816 7.05749 26.7142
94 17.9511 8.47408 25.1659
95 18.281 6.26332 25.6908
96 17.5377 3.44629 27.3356
97 17.8962 5.14401 26.745
98 17.716 5.9212 26.5472
99 18.5003 8.35743 25.8183
100 17.6298 3.0681 26.5472
101 17.9632 8.74137 26.1736
102 18.2663 4.03768 26.4222
103 18.533 6.08405 27.3862
104 18.9264 8.28722 27.3862
105 18.5894 9.10656 26.466
106 18.9201 8.48358 26.245
107 18.9281 4.41424 27.6317
108 19.425 8.81742 27.579
109 18.6688 6.17393 26.6375
110 18.3758 9.09618 24.4839
111 18.4147 9.03946 25.7761
112 17.9902 8.18578 25.9242
113 18.4536 5.40482 25.7059
