generation avg_fitness min_fitness max_fitness
1 7.77315 2.14283 13.1592
2 8.53431 2.11027 14.6591
3 9.56267 2.78681 16.1781
4 10.8449 3.38437 16.4273
5 10.5744 4.59199 17.3205
6 10.6549 4.42513 17.4437
7 10.9433 4.96926 18.2246
8 11.1605 4.12979 19.1043
9 11.4048 5.22577 19.5701
10 11.5873 3.86789 18.7556
11 11.8052 4.92497 21.716
12 11.674 5.41144 19.5701
13 10.9612 4.26109 18.3526
14 11.402 4.90171 20.5712
15 11.1025 4.92742 20.6067
16 11.9352 3.83139 22.1854
17 11.8271 4.62272 19.4179
18 11.9836 3.88662 19.5644
19 11.9153 5.85177 20.1138
20 11.6947 4.84488 20.1138
21 11.421 3.80571 20.2234
22 11.3641 5.13312 18.4317
23 10.9298 5.46298 20.1918
24 11.786 4.89096 20.5564
25 11.575 5.4812 20.5564
26 11.6228 5.75142 23.0051
27 11.7699 5.39927 20.6067
28 11.5922 5.27115 20.6067
29 11.7584 5.29681 20.8441
30 11.884 5.32635 20.5564
31 11.9326 5.91747 21.2541
32 11.1412 5.43825 20.3648
33 11.0427 4.46223 22.6131
34 11.4824 3.83113 20.2138
35 11.6142 4.3509 20.2138
36 11.7541 3.13073 21.4128
37 11.8904 4.28915 21.4128
38 11.8545 6.3067 21.8357
39 11.9154 4.37158 22.402
40 11.626 4.39975 20.7022
41 11.4756 5.1091 19.5455
42 11.8379 5.05853 21.8117
43 11.1931 2.71101 22.6707
44 10.9525 5.35393 23.6154
45 10.6606 4.61096 19.9681
46 11.1721 4.78962 24.1901
47 11.0912 4.67758 21.6375
48 10.6452 4.64214 20.8937
49 11.1051 5.79395 21.6018
50 11.8629 4.66355 22.2714
51 12.0026 6.39723 24.1901
52 12.3274 3.82909 24.1901
53 11.9125 4.96777 23.3328
54 11.5923 5.58097 24.0895
55 12.0318 5.73973 21.7651
56 11.5728 5.44336 20.6645
57 11.6227 5.98876 23.6838
58 12.049 4.68535 23.118
59 12.2858 5.89427 20.7022
60 11.6058 5.4812 23.6838
61 11.4616 5.4812 22.3193
62 12.0406 5.96799 21.7651
63 11.4027 4.97447 21.7651
64 10.648 4.92299 20.1694
65 11.1909 5.35859 18.6366
66 11.1054 4.72122 22.3418
67 11.8643 5.1347 23.7935
68 12.1214 4.02956 23.6838
69 11.5706 6.02746 21.2028
70 11.9657 4.28049 20.489
71 12.115 5.67124 23.7935
72 12.1986 5.67037 22.0109
73 11.7052 5.7207 22.0109
74 11.9002 4.52747 22.0109
75 12.139 5.75185 22.0109
76 12.1886 5.39927 20.1505
77 11.4134 5.39176 22.5939
78 11.6441 5.4815 21.7651
79 11.7484 4.60029 23.0709
80 12.07 5.42651 22.0515
81 11.7575 5.45319 22.0109
82 11.4938 5.4812 20.658
83 11.0109 4.93477 20.2351
84 11.5952 5.39927 20.2351
85 12.031 4.73921 23.9701
86 11.8122 5.05066 21.4006
87 11.3852 5.53183 21.6852
88 11.8366 5.06643 21.6852
89 11.2566 4.93373 23.5238
90 12.125 5.93361 22.0515
91 11.6605 4.40015 23.5238
92 11.9467 5.46323 21.4989
93 12.3693 5.67037 23.7804
94 12.2961 5.04365 20.9851
95 12.4171 5.58187 21.1969
96 12.7191 5.96471 22.7908
97 12.3446 4.38927 21.1419
98 12.1716 6.01231 24.2998
99 12.2534 5.37243 23.7935
100 11.3943 4.54024 19.3503
101 11.903 5.0397 19.5299
102 11.4482 4.40684 18.9049
103 12.1711 6.1279 21.09
104 11.7578 5.61266 20.209
105 11.1624 4.84975 20.209
106 11.8575 5.85005 21.3913
107 11.4017 4.67077 21.3712
108 12.1649 4.36977 21.6852
109 11.4529 5.33862 20.9059
110 11.1472 4.64004 19.499
111 11.3719 4.0481 19.8677
112 11.4706 4.80761 21.3336
113 11.3452 5.63947 20.8087
114 12.0353 5.04909 21.6877
115 12.0854 4.54443 18.5485
116 12.395 4.63066 19.9183
117 12.1205 5.40831 20.7765
118 12.3796 5.14068 22.2272
119 11.8675 6.05077 22.6939
120 12.0812 6.14698 20.9734
121 11.5117 2.53367 18.2835
122 11.9473 5.58295 21.4379
123 11.3295 4.60517 19.5197
124 11.9739 5.73032 20.6831
125 11.8679 5.17686 21.9558
126 12.149 3.51501 19.0384
127 11.859 6.42609 20.0248
128 11.5194 5.31787 18.8917
129 11.9671 5.34876 18.5957
130 11.5738 6.19824 19.9444
131 12.2378 4.394 21.8883
132 12.0693 4.51943 20.5168
133 12.1339 3.80749 21.2238
134 12.6331 6.48041 21.638
135 12.5691 5.50297 20.1283
136 13.3491 5.96829 20.4504
137 12.9701 6.19359 22.9793
138 12.5039 4.73961 21.5364
139 12.7726 2.99401 20.5424
140 12.6943 4.88909 20.3621
141 12.9185 5.6347 19.742
142 12.9335 5.90975 21.5012
143 12.9564 6.56543 20.2717
144 12.6862 6.09763 21.349
145 13.2176 4.55257 21.8732
146 13.3362 5.62854 21.8732
147 12.834 3.95308 20.7039
148 13.0852 2.84244 21.9074
149 12.8535 5.47436 22.8793
150 13.2951 5.8812 21.7459
151 13.0522 5.8484 20.8133
