generation avg_fitness min_fitness max_fitness
1 16.4858 6.48838 21.9427
2 16.9352 7.91176 26.4096
3 17.607 8.84263 24.9891
4 18.4029 7.91938 26.6789
5 18.1754 7.05637 26.3208
6 18.8524 8.07833 25.6343
7 19.5656 10.3773 27.1616
8 18.8341 6.73554 26.298
9 18.6434 8.12842 26.2854
10 19.2474 9.09881 27.7126
11 18.4396 9.52691 25.9168
12 17.7941 6.25171 25.8039
13 17.8349 9.06538 25.4734
14 18.4862 9.36399 27.4441
15 18.4052 6.47023 27.7959
16 19.2172 7.5449 26.162
17 18.5891 8.4215 26.2389
18 18.5213 8.82565 26.7548
19 18.6583 8.27632 26.6217
20 17.7858 6.22832 27.4417
21 18.0691 7.5748 27.0191
22 17.7842 7.02046 25.5998
23 18.5806 8.75989 27.92
24 17.7969 8.57782 25.3272
25 17.2039 7.37629 24.9818
26 17.7339 9.26024 24.9818
27 18.1479 7.904 25.5481
28 18.7055 5.41007 25.2563
29 18.0396 8.36888 27.0266
30 18.6406 7.42256 28.1044
31 18.2896 9.11965 26.9288
32 17.7776 8.45119 25.5954
33 18.5243 8.0798 25.5669
34 17.7083 7.30319 26.2001
35 18.1542 7.11136 25.4537
36 17.7824 9.39647 24.6553
37 18.3269 8.55859 25.2413
38 17.9073 8.25584 26.6514
39 18.0333 7.53176 25.3118
40 17.7754 7.78347 26.8886
41 17.9485 7.19902 25.6731
42 17.9923 5.74336 25.199
43 17.9497 8.03449 25.5155
44 17.4077 7.89143 23.9585
45 18.0084 6.86833 27.5292
46 18.5646 9.74312 25.8236
47 18.148 7.81817 25.425
48 18.9303 8.50899 25.4103
49 17.3898 6.84993 26.4019
50 18.2027 7.71157 26.1526
51 18.2224 9.01344 27.6114
52 18.2974 6.76289 25.5552
53 18.2862 8.44942 25.6759
54 18.0791 6.796 26.1095
55 17.7812 6.08713 26.7857
56 18.7405 8.5798 27.3299
57 18.8633 9.75509 26.7243
58 18.251 6.85155 25.8133
59 18.3686 10.6148 24.7957
60 17.8545 7.31488 25.79
61 17.7124 7.06539 26.2249
62 17.5977 8.3363 26.3232
63 17.5866 6.7817 25.3894
64 17.5221 8.54725 24.9949
65 17.5362 6.59574 25.7007
66 17.916 6.54956 26.9939
67 18.0669 6.5458 25.8437
68 18.6615 6.38741 24.139
69 18.4876 9.91887 26.629
70 18.8872 10.1558 26.0998
71 19.0466 7.75307 26.1864
72 19.5601 8.84257 26.2916
73 19.0593 8.63242 26.8976
74 18.617 8.92682 26.8106
75 18.6405 8.68261 26.6497
76 18.8067 7.42711 26.4346
77 18.9213 6.49996 26.1974
78 19.0098 9.7618 26.4147
79 19.1616 9.89022 26.3108
80 18.9314 6.98514 26.6951
81 19.2363 6.07729 26.4228
82 19.1516 6.97486 25.6172
83 18.7153 7.81206 26.3545
84 18.7698 9.4748 28.0062
85 19.4061 9.06189 26.3875
86 18.4779 8.41794 26.455
87 19.0291 11.0842 25.7676
88 18.8753 9.01391 25.9465
89 19.4533 10.8872 27.1398
90 19.6154 11.1556 26.7101
91 19.3679 9.37279 27.2339
92 19.3799 11.0631 27.5324
93 19.3285 7.6994 27.6517
94 19.4219 7.76685 27.0517
95 18.7377 9.24462 26.7908
96 18.7274 8.59874 26.7693
97 18.7767 9.55397 26.2602
98 18.3914 7.37474 26.8929
99 18.5511 6.55355 25.004
100 18.4707 9.49409 26.4492
101 18.4972 10.4778 26.578
102 18.1155 8.57695 26.529
103 17.9832 8.47264 26.0289
104 18.6331 9.30712 25.8359
105 18.8573 9.19222 27.0783
106 19.1974 9.84833 26.6995
107 19.3737 8.7464 26.6995
108 19.1714 8.47166 27.1182
109 18.8839 7.61275 26.7603
