generation avg_fitness min_fitness max_fitness
1 16.5008 7.25029 22.7779
2 17.3173 9.77336 26.4074
3 18.2922 8.22477 24.8415
4 18.7996 9.35702 26.0674
5 18.6367 9.98624 27.8092
6 19.5598 7.64424 28.2833
7 19.4708 4.5991 28.7844
8 19.1507 6.12141 28.9407
9 19.0446 7.71591 29.1478
10 19.8883 9.1599 28.2237
11 19.9899 7.42367 27.5096
12 19.3839 8.90329 27.9619
13 19.2848 9.1922 26.4677
14 18.8681 9.06359 29.2197
15 18.8171 6.82981 26.5512
16 19.2609 7.80287 27.3168
17 19.0857 8.81221 27.284
18 18.7463 6.19194 26.762
19 18.595 9.63186 28.5327
20 18.02 5.99494 28.2414
21 18.483 4.77532 27.7018
22 19.2388 5.69161 28.3273
23 19.1426 6.08797 26.4228
24 18.8421 6.86375 27.8996
25 18.9151 8.30325 26.5936
26 18.7892 6.20244 27.3476
27 18.1117 5.92557 27.1462
28 18.9395 5.77854 27.4954
29 18.9144 4.84291 28.0571
30 17.3747 3.77074 27.2359
31 17.3302 5.30557 27.2227
32 17.982 4.63477 28.7071
33 18.0498 6.13788 27.9731
34 18.6772 5.31226 27.1412
35 19.0148 5.46492 27.3279
36 20.2033 9.83208 28.133
37 20.3825 8.38419 29.2396
38 20.2474 5.87865 29.8697
39 19.7529 9.15273 29.5991
40 18.8823 9.11654 28.1384
41 19.2954 7.94406 29.4755
42 19.473 5.58779 29.5361
43 19.6524 7.32662 28.5525
44 19.8496 8.64587 27.6641
45 19.8311 6.13273 28.4797
46 19.9403 6.92216 28.7492
47 19.8409 5.88909 28.9655
48 19.9682 5.2416 27.4701
49 20.3747 6.1474 28.6314
50 19.7079 9.0398 30.1737
51 20.0786 6.64485 30.2595
52 19.5025 6.48797 27.7981
53 20.4523 7.86364 30.389
54 20.7621 7.69644 28.2498
55 19.8424 7.03004 28.0389
56 20.294 6.69177 29.871
57 21.0391 7.09855 28.4885
58 20.7191 7.14327 29.9567
59 20.8626 7.30839 27.9932
60 20.5166 6.13339 28.4674
61 19.3586 7.11238 28.1486
62 19.4991 5.12603 27.8419
63 19.4936 7.42189 28.0273
64 20.0198 7.96872 28.0395
65 18.3743 6.40522 28.2669
66 19.3149 5.53274 28.4881
67 19.0763 6.62898 28.792
68 19.8516 5.61431 28.3793
69 19.6264 8.57111 28.0806
70 18.8546 7.50954 27.7788
71 19.5788 7.61701 28.1529
72 19.3275 8.34524 27.0777
73 18.7732 4.94715 26.5219
74 18.7623 6.2508 27.5844
75 19.1853 8.08907 26.4618
76 19.1295 4.93892 28.9887
77 19.2924 7.18538 27.9172
78 18.3616 6.20717 27.6199
79 18.6534 6.72347 26.965
80 18.2712 6.53154 27.4277
81 18.7772 4.79533 28.1081
82 19.2725 6.55265 27.2772
83 19.3619 6.40936 26.3691
84 19.5007 8.73398 27.5016
85 19.0049 8.15805 28.7765
86 19.281 5.49132 26.5991
87 18.4888 5.87338 28.8552
88 18.0754 6.47938 26.1188
89 18.3058 6.36913 29.5602
90 18.276 7.42081 26.2742
91 18.3253 7.37002 27.9754
92 18.9375 6.0359 27.5902
93 18.4401 6.40026 28.7249
94 18.3542 6.45849 28.7249
95 18.9824 5.8494 28.7249
96 18.6351 5.57804 29.4235
97 19.683 7.53608 28.8923
98 19.173 6.80043 26.8302
99 19.17 7.2041 27.11
100 19.5605 8.48816 27.2762
101 20.1766 8.44609 28.9325
102 19.3617 7.84839 29.7497
103 20.0429 6.35253 28.6396
104 20.0545 7.11091 28.3878
105 20.7082 7.44831 28.7448
106 20.6876 5.88294 28.171
107 20.4305 8.41543 28.9294
108 20.7911 7.96696 29.6181
109 21.0624 10.8004 29.6181
110 20.5683 6.90702 29.867
111 19.6955 7.03107 26.7282
112 18.8704 4.83985 26.803
113 19.2366 9.72482 26.7304
114 18.9531 5.3658 26.1063
115 18.7679 6.67433 26.9451
116 19.7918 9.01389 27.8887
117 18.957 6.91589 28.0664
118 19.8549 8.4096 28.6226
119 19.4942 6.84723 28.0616
120 19.2329 8.94476 30.1517
121 19.1213 7.12016 29.1823
122 19.1791 9.44671 29.6033
123 18.9723 6.36304 26.4839
124 19.6042 7.30438 26.9805
125 19.4333 8.6642 29.0315
126 19.4838 9.84573 28.2234
127 18.954 6.18715 28.4494
128 19.324 5.77903 27.3785
129 19.0505 7.16885 27.3083
130 18.9204 7.83608 28.9144
131 19.205 5.85683 29.6067
132 19.8314 7.38466 28.891
133 19.8899 6.97756 28.0728
134 19.5404 7.81643 29.8207
135 19.9239 9.04165 28.2839
136 19.6047 8.93767 28.3697
137 20.1584 6.89949 28.5712
138 20.6172 6.86342 28.9515
139 20.1819 7.28796 28.6605
140 19.9768 7.84572 28.3816
141 20.5631 8.72694 29.686
142 20.6265 11.6402 27.7641
143 19.5687 7.88903 28.3456
144 19.0467 5.6365 28.0359
145 20.234 9.22145 29.8311
146 19.3729 8.00206 28.1205
147 19.3269 8.49418 28.4599
148 19.4258 7.70446 29.5959
149 19.6111 6.56905 29.265
150 19.2605 5.99452 28.113
151 19.2857 6.21872 28.6672
152 18.7608 6.55219 28.4715
153 19.1491 7.39882 28.9209
154 19.7539 4.70917 30.1391
155 19.1206 8.96287 27.9418
156 19.1534 7.16833 28.483
157 19.8935 9.3783 28.483
158 20.0399 8.44786 28.069
159 19.6179 5.75972 29.0523
160 20.3116 7.17392 27.9926
161 20.3772 8.35018 27.9926
162 19.8783 6.32155 28.4094
163 19.0306 7.82528 29.0373
164 18.9754 7.21216 28.7821
165 20.1009 7.26905 28.6675
166 19.7753 6.78212 27.9395
167 20.3518 7.67593 28.0773
168 19.6327 7.11418 27.2666
169 20.1728 9.06802 27.0173
170 19.7141 8.8132 28.4706
171 19.6554 7.45411 27.4362
172 19.7875 4.7717 30.4148
173 20.197 7.07161 28.4863
174 20.0806 8.15764 28.8422
175 20.5984 7.78586 27.8893
176 20.403 6.1312 27.8893
177 19.8996 6.28252 26.9165
178 19.697 6.77962 28.3254
179 20.2721 7.94169 28.3317
180 19.6537 7.55331 28.3317
181 19.07 10.1803 29.3133
182 19.4274 4.29548 28.3674
183 19.9221 8.86226 29.2276
184 20.3366 7.53374 28.8352
185 20.1582 6.2014 27.8001
186 19.3572 5.96469 27.7472
187 20.2827 5.82859 28.7023
188 20.145 8.73631 28.6021
189 20.2645 6.4714 27.4826
190 19.8737 6.71746 28.491
191 19.3782 7.0353 28.0012
192 19.8223 6.63439 28.3767
193 19.4578 7.54901 28.3767
194 19.5346 8.9911 27.3766
195 18.9538 6.58137 26.1261
196 18.4845 6.87002 26.3495
197 18.7667 6.37476 28.5255
198 19.1183 8.0074 26.6664
199 18.918 9.53583 28.4044
200 18.6011 8.52461 29.347
201 18.7192 6.62818 26.0256
202 18.7867 6.79176 27.6316
203 18.872 5.58795 27.7952
204 19.2524 8.04373 28.7013
205 19.2203 7.84238 30.0731
206 19.2669 8.06377 28.5364
207 19.0727 8.59681 29.2223
208 19.5869 7.56545 27.5605
209 19.895 6.03969 27.4871
210 19.7196 8.29194 27.0843
211 19.5844 7.66734 27.3173
212 19.4887 8.26458 27.2703
213 18.2076 7.26875 28.4389
214 18.599 5.72811 25.7998
215 19.0153 6.53312 27.501
216 18.9241 8.66998 27.5066
217 17.9504 6.64928 27.1592
218 18.0381 5.82773 27.5537
219 19.0381 8.42496 27.9898
220 19.6259 7.65784 29.1262
221 20.2525 10.0945 28.3265
222 20.2333 7.72705 29.3732
223 19.9248 6.49441 28.8439
224 20.1527 7.06928 28.8715
225 19.1496 7.44997 29.7053
226 19.2818 6.83447 27.42
227 19.093 6.17662 27.0287
228 20.1419 8.43385 28.1597
229 19.9307 8.24714 29.4872
230 20.2657 9.5644 29.3303
231 20.1416 7.52201 30.5551
232 19.7854 6.68041 29.3854
233 20.3041 7.89488 28.0411
234 19.4847 5.63039 29.016
235 19.976 7.92645 29.7068
236 19.7495 8.13246 29.4915
237 20.3676 7.30727 28.871
238 21.2968 7.69831 28.5148
239 20.0582 6.06845 28.2858
240 20.5135 5.92808 30.386
241 19.6982 6.99369 29.6762
242 19.6969 4.65242 29.397
243 19.6536 7.8984 29.02
244 20.7345 9.66148 31.2152
245 20.4079 7.96414 29.6505
246 20.2308 5.64442 29.8216
247 20.5617 7.50778 30.3011
248 21.112 7.99507 30.3011
249 20.463 7.48973 29.6626
250 20.5721 6.25392 29.3687
251 20.5005 5.85152 30.7791
252 20.4006 5.59862 29.2914
253 20.1725 8.17283 28.4809
254 20.1689 6.17022 28.7377
255 19.8094 5.27771 29.2257
256 20.3334 7.99332 27.9193
