generation avg_fitness min_fitness max_fitness
1 11.7626 2.4555 17.9286
2 10.9088 3.3465 16.9224
3 10.5135 3.40774 16.3445
4 9.82417 2.64246 18.2407
5 10.0558 2.52342 18.876
6 10.3919 3.02342 17.0903
7 10.5417 4.62151 16.3235
8 10.9681 3.10308 18.1645
9 11.1167 4.82907 18.0287
10 11.9463 3.98768 21.2403
11 12.7137 3.82309 18.6206
12 14.7933 6.55921 20.0545
13 16.1175 6.37058 20.1849
14 16.9493 6.93888 20.0545
15 16.9607 11.1967 20.0545
16 16.8878 4.11613 20.0545
17 16.9886 9.61762 20.7171
18 16.8825 7.77378 21.0434
19 17.4175 9.51128 22.0775
20 17.4799 10.7555 22.0775
21 17.452 9.71113 21.1474
22 17.5857 10.1841 23.2915
23 17.6052 8.27777 23.1563
24 17.678 6.60657 21.0565
25 18.0429 10.2487 22.4715
26 17.8136 8.09508 22.0275
27 18.3791 8.08289 23.344
28 18.6987 13.304 22.3233
29 18.6706 9.45569 23.1799
30 19.3306 11.9747 23.9334
31 19.908 11.7668 24.0382
32 19.6997 11.8819 23.1552
33 20.175 7.81121 23.1669
34 20.6621 14.5094 23.3111
35 20.1862 12.3455 23.5983
36 20.6728 15.6805 24.3794
37 20.4328 12.2115 23.8082
38 20.5332 13.6332 24.1777
39 20.7321 11.4922 24.1777
40 20.989 13.4173 24.4681
41 20.9849 16.2823 25.1202
42 21.3753 11.5217 24.5956
43 21.6685 12.3753 24.6367
44 21.4563 11.9269 24.5956
45 20.9409 10.9739 24.5956
46 21.5831 14.9867 25.1202
47 21.5054 12.4002 24.5956
48 21.1148 14.3492 24.4448
49 21.111 11.7482 24.4448
50 21.1795 14.5434 24.4076
51 21.3897 12.0804 25.1202
52 21.2634 11.5158 24.7349
53 21.6652 16.7623 24.7576
54 21.386 14.1416 25.1202
55 21.4228 14.2707 24.6369
56 21.1564 11.0972 25.1202
57 21.1292 9.42511 24.7578
58 21.1531 11.0434 24.5957
59 21.6065 12.0681 24.7165
60 21.1064 8.3711 25.2259
61 21.4612 14.7378 24.7165
62 21.3074 15.5587 25.2259
63 21.631 13.8452 25.1561
64 21.4643 11.6634 24.7165
65 21.6406 11.6093 25.2259
66 21.5931 14.6282 24.7165
67 21.5798 9.32796 25.2259
68 21.845 14.475 25.2259
69 21.9831 15.5941 25.2259
70 21.5601 13.8648 25.2259
71 21.628 15.009 24.7165
72 21.3577 12.9293 24.7165
73 21.1811 13.0485 25.1373
74 21.1516 12.6648 25.2259
75 21.1826 11.1614 24.7576
76 21.1802 11.0019 25.2259
77 21.6444 10.6263 24.7578
78 22.1341 14.0357 24.8559
79 21.5618 11.6072 25.2259
80 21.2685 9.98603 24.7165
81 21.4131 13.6346 25.2445
82 21.1205 11.4573 25.2445
83 21.3473 13.0424 25.2445
84 21.3467 12.322 25.2105
85 21.582 13.9446 25.2445
86 21.6344 13.1204 25.2445
87 21.5496 12.7776 25.2445
88 21.9111 15.0874 25.2445
89 21.9167 15.1523 25.2445
90 21.6649 12.8834 25.2445
91 21.805 14.6959 24.7516
92 21.9451 16.1388 24.7516
93 21.6523 15.0098 25.2445
94 21.895 16.283 25.2445
95 21.2879 12.8201 25.2445
96 21.4232 14.6639 25.1219
97 21.5525 9.21576 25.2445
98 22.0201 15.6318 25.2445
99 21.5875 12.85 25.2445
100 21.2605 13.0597 25.2445
101 21.3213 15.3545 25.2445
102 21.4608 11.1499 25.2445
103 21.3964 8.65949 25.2445
104 21.4538 15.6914 25.2445
105 21.4392 11.6324 25.2445
106 21.0837 9.04298 25.2445
107 21.6221 13.502 25.2445
108 21.7237 13.0821 24.7516
109 21.6019 9.1795 24.8768
110 21.6617 11.3312 25.2445
111 21.7212 14.892 24.8768
112 21.4859 14.6753 24.7516
113 21.4192 15.7395 24.7578
114 21.1255 12.6243 25.2445
115 21.2288 11.8963 24.7516
116 21.1886 13.3416 25.2445
117 21.625 13.6314 25.2445
118 21.804 10.6819 25.2445
119 21.6601 12.0031 25.2445
120 21.4559 15.0022 25.2445
121 21.1615 12.1079 24.7576
122 21.8127 14.5554 25.2445
123 21.527 12.4441 24.7578
124 21.4321 14.5222 24.7165
125 21.3328 12.825 24.5986
126 21.4129 15.2533 24.5956
127 21.5895 13.4375 25.1202
128 21.1679 13.6217 24.5956
129 21.2416 14.202 25.1202
130 21.2931 7.4718 25.1202
131 21.7038 14.5272 24.7165
132 21.6257 13.5186 24.7576
133 22.1754 11.4816 25.2259
134 21.3603 12.4174 24.7576
135 21.4859 7.6996 25.1202
136 21.1753 10.1497 25.1202
137 21.5674 9.66954 25.0316
138 21.3601 10.8473 25.1202
139 21.6149 10.3047 24.7576
140 21.1998 9.55818 24.7576
141 21.2529 13.5473 24.7576
142 20.9541 9.30373 24.7103
143 21.2078 14.2239 25.2445
144 21.3212 14.0573 24.7103
145 21.5524 12.1724 24.7576
146 21.2025 11.6998 25.1373
147 21.1869 12.802 24.6369
148 21.477 13.6872 24.5956
149 21.264 13.944 24.7103
150 21.2125 12.2721 25.1202
151 21.8379 15.0527 25.0316
152 21.5318 13.6779 24.6369
153 21.7308 11.9228 25.0316
154 21.6003 12.9127 25.2105
155 21.4306 13.4032 25.2105
156 21.4818 10.0456 25.2105
157 22.1191 14.9221 25.2259
158 22.0953 15.4512 25.2259
159 21.9559 12.0886 25.2259
160 21.9182 14.3736 25.2105
161 21.6905 12.0098 25.2259
162 21.7309 14.4524 25.2259
163 21.8906 12.682 25.2259
164 21.9875 11.6934 25.2259
165 21.4621 9.46051 25.2259
166 22.1984 16.0775 25.2105
167 22.0289 11.2457 25.2105
168 21.2394 11.1164 25.2259
169 21.598 10.4219 25.2259
170 21.8577 15.0309 25.1219
171 21.6515 13.5015 25.1219
172 21.6405 11.0478 24.6988
173 20.9783 11.7705 24.6389
174 21.435 15.7459 24.6988
175 21.3438 15.4012 24.6988
176 20.8602 7.78634 24.6988
177 21.2052 12.4001 24.6988
178 21.4798 13.2095 24.5409
179 21.4462 13.9182 24.7399
180 21.5679 14.5629 24.6988
181 21.3883 16.0161 24.6988
182 21.2081 12.8421 24.5414
183 21.2801 11.4076 25.1707
184 21.2554 13.6699 24.6988
185 21.1099 13.1681 24.7401
186 20.9918 8.42726 24.7401
187 21.0259 9.99754 25.0821
188 20.7793 9.49712 25.0821
189 20.9007 11.2942 24.6988
190 20.6522 8.14242 24.2222
191 21.0549 13.0835 25.0821
192 21.2089 13.4544 24.7399
193 21.7037 15.0233 24.6367
194 21.8411 13.3946 24.6988
195 21.291 13.2254 24.6988
196 20.8546 14.0274 24.5414
197 20.86 8.63978 24.6107
198 21.1611 12.7534 24.535
199 20.7205 9.83034 24.6107
200 20.5172 11.2406 24.6107
201 21.0911 13.2263 24.6389
202 21.0151 12.6256 24.6389
203 21.4581 12.8644 24.6389
204 21.1539 13.2694 24.6107
205 20.4647 10.4235 24.6107
206 20.6061 13.3715 24.5414
207 21.1254 11.9661 24.6107
208 21.1727 13.942 25.2445
209 21.226 10.0277 25.2445
210 21.3346 15.3534 24.6389
211 20.9808 11.1601 24.6389
212 21.025 12.6206 24.6389
213 21.2947 13.1266 24.6389
214 20.54 11.6104 24.2595
215 20.9844 13.0585 24.6389
216 20.854 13.2101 24.6389
217 20.8754 8.41217 24.6389
218 20.9176 9.56928 24.6389
219 20.8302 12.8826 24.6389
220 20.9414 13.5315 24.6389
221 20.8978 8.75325 24.6389
222 21.2284 12.4541 24.6107
223 21.3718 12.3327 24.6107
224 21.1809 9.09298 24.6389
225 21.2549 10.5926 24.6389
226 21.1936 11.1936 24.6389
227 21.4991 12.4578 24.6389
228 20.7681 12.2125 24.6107
229 20.9821 12.3569 24.7103
230 20.8767 14.115 24.7103
231 21.0515 14.2586 24.6107
232 20.9171 12.0794 24.569
233 21.1184 9.04186 24.6389
234 20.9112 12.3911 24.6389
235 20.6328 15.1065 24.6389
236 20.835 9.18439 24.6389
237 21.1003 11.5925 24.6389
238 21.709 16.1379 24.6389
239 21.595 12.258 24.6389
240 21.4039 12.1653 24.6532
241 21.005 15.4789 24.6389
242 21.2866 12.2736 24.6389
243 21.1952 10.9183 24.6389
244 21.0269 8.165 24.6389
245 21.0979 8.75834 24.6389
246 21.0554 11.135 25.2445
247 20.9425 13.0734 24.7103
248 21.1793 11.2968 24.7103
249 21.0593 11.7639 24.7103
250 20.9585 11.9529 25.2445
251 20.9445 13.289 25.2445
252 21.1997 11.5176 24.7103
253 21.1246 15.8742 24.7103
254 21.0152 12.5273 24.7548
