generation avg_fitness min_fitness max_fitness
1 12.9709 2.04062 19.422
2 13.746 5.51152 20.9986
3 14.452 6.11551 25.0463
4 15.7022 3.47151 26.7761
5 16.3337 6.68619 26.6511
6 16.741 5.48942 25.5835
7 17.6641 6.12684 25.8675
8 17.74 3.94502 27.5864
9 18.1887 6.53618 27.3415
10 17.9963 6.03578 27.0228
11 17.695 6.17135 26.7862
12 17.5236 5.59106 25.1229
13 17.6082 3.60643 26.2841
14 17.9457 6.9503 26.1158
15 17.6254 6.45847 25.5773
16 18.3665 5.1405 26.3685
17 17.0506 5.06958 25.8099
18 17.3756 5.59064 25.8099
19 17.1562 4.23661 25.3812
20 17.1045 3.91827 24.8964
21 16.7706 4.89673 25.4813
22 17.2763 5.17184 25.6932
23 16.4511 3.35285 24.5391
24 15.9093 4.0935 24.2374
25 15.2652 2.45949 23.9126
26 15.8082 2.74507 26.6107
27 15.7966 2.49083 23.7934
28 15.7659 4.3377 25.3033
29 15.312 3.21571 24.4215
30 15.6713 3.59987 24.924
31 15.7291 4.64062 24.7745
32 16.2574 4.20503 25.365
33 15.6648 1.29041 26.1681
34 15.9943 4.78404 24.2049
35 17.1952 4.62972 26.2318
36 16.6151 4.68359 26.2318
37 16.632 2.85967 25.9727
38 17.1134 5.06475 25.2968
39 16.4842 4.51038 25.2968
40 16.1589 3.15158 24.397
41 15.8382 3.05981 24.4254
42 15.9113 1.85326 25.5367
43 15.9245 3.47228 23.0889
44 16.0851 3.92321 24.9216
45 15.9609 4.93639 24.6264
46 15.9467 6.12928 22.5612
47 15.5285 3.1395 24.72
48 15.198 4.28206 23.2775
49 14.9431 1.18257 23.7857
50 15.4888 3.01819 25.4976
51 15.587 5.52567 24.0309
52 15.508 3.89602 24.7138
53 15.8423 5.13739 25.6124
54 15.5328 3.27246 24.6218
55 15.8661 2.85004 24.1693
56 16.0104 2.37404 24.5442
57 15.469 3.71004 23.8686
58 16.2511 3.72787 25.9197
59 16.4409 4.56502 24.2151
60 16.3233 4.87824 24.2151
61 16.7101 1.44078 24.4046
62 16.9056 2.61004 24.553
63 16.7326 4.55588 25.1914
64 16.8775 3.09644 25.7804
65 17.6756 6.93959 26.2683
66 17.3702 6.10556 26.4507
67 17.7213 7.0485 25.916
68 17.4167 2.68595 26.2683
69 17.6676 5.21995 26.3132
70 18.1487 3.76999 27.6464
71 17.7624 3.95584 25.6133
72 17.064 4.40528 25.8671
73 16.6458 4.71549 27.4655
74 16.6418 4.37204 26.1675
75 16.7482 2.87341 24.0885
76 17.043 7.50571 24.8443
77 16.7715 5.18986 24.1659
78 16.2138 6.06943 24.6148
79 16.5564 5.09653 25.4952
80 16.2284 4.15138 24.9475
81 16.1863 6.11356 25.2461
82 16.6749 5.68456 26.8365
83 16.7527 6.58551 25.7669
84 17.3589 4.55419 26.5783
85 16.9456 4.53988 24.3913
86 17.1906 6.67013 26.199
87 17.5009 4.83653 25.1095
88 18.0957 5.00925 26.1672
89 17.2134 5.09704 24.3466
90 17.1667 5.36638 24.8777
91 16.5023 6.87086 25.7146
92 16.8285 6.2913 25.6872
93 17.2407 5.48955 25.1169
94 17.6685 5.98807 26.0799
